origin_country_code,origin_country_label_fr,reporting_country_code,reporting_country_name,sample_country_code,sample_country_name,sample_date,sample_year,sample_month,sample_day,crop_group,product_name,sampling_point,param_name,zen_detected,zen_value_ug_kg,lod_ug_kg,loq_ug_kg,result_status,result_type,origin_matches_reporting_country,origin_matches_sample_country,sampling_strategy,program_type,sample_method,source_archive,source_file,resId_A,latitude,longitude,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,cloud_cover_mean
CZ,Tchequie,CZ,Czechia,CZ,Czechia,2019-03-07,2019,3,7,maize,Maize grain (feed),Storage,Zearalenone,yes,443.0,,20.0,quantified_positive,Numerical Value,yes,yes,Objective sampling,Official (National) programme,,CZ_latest_15410924_contaminants.zip,OCC_CHEMMON2020_CZ_2019.ZIP/OCC_CHEMMON2020_CZ_2019.CSV,B3C7C4BD6F004B6EE0CE6A380BC4D73C,49.765,15.05,2019-03-07,3.75,15.5,7.952083,69.85287,0.3,78.625
HU,Hongrie,HU,Hungary,HU,Hungary,2019-03-13,2019,3,13,maize,Maize grain (feed),Primary production,Zearalenone,no,,,25.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Selective sampling,Official (National) programme,,HU_latest_15333988_contaminants.zip,OCC_CHEMMON2020_HU_2019.ZIP/OCC_CHEMMON2020_HU_2019.CSV,C2B881EC839D24A0D0E3534C8BBFFFFF,46.814,20.877,2019-03-13,-1.1,10.05,5.077083,53.577168,0.0,77.583336
DK,Danemark,DK,Denmark,DK,Denmark,2019-03-14,2019,3,14,maize,Maize silage (feed),Primary production,Zearalenone,yes,42.51935711,,1.4,quantified_positive,Numerical Value,yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,FCA8F4F907964DDCAD69E43467B0BD46,55.779,9.119,2019-03-14,4.5187497,5.2,2.9,94.01803,7.9999995,92.166664
CZ,Tchequie,CZ,Czechia,CZ,Czechia,2019-03-14,2019,3,14,wheat,Wheat grains (feed),Primary production,Zearalenone,no,,,20.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National) programme,,CZ_latest_15410924_contaminants.zip,OCC_CHEMMON2020_CZ_2019.ZIP/OCC_CHEMMON2020_CZ_2019.CSV,F909BD3F44809CE8F196A1CEC2BA5F39,49.765,15.05,2019-03-14,3.7645829,6.65,1.7,80.79941,6.7000003,91.5
CZ,Tchequie,CZ,Czechia,CZ,Czechia,2019-03-18,2019,3,18,barley,Barley grain (feed),Primary production,Zearalenone,no,,,20.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National) programme,,CZ_latest_15410924_contaminants.zip,OCC_CHEMMON2020_CZ_2019.ZIP/OCC_CHEMMON2020_CZ_2019.CSV,41CB40673B11DFD3300D20756321752A,49.765,15.05,2019-03-18,0.6,7.05,3.9041672,71.36329,1.0,62.5
CZ,Tchequie,CZ,Czechia,CZ,Czechia,2019-03-22,2019,3,22,maize,Maize grain (feed),Primary production,Zearalenone,no,,,20.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National) programme,,CZ_latest_15410924_contaminants.zip,OCC_CHEMMON2020_CZ_2019.ZIP/OCC_CHEMMON2020_CZ_2019.CSV,634AD8900E62654B824F8379E5BC8083,49.765,15.05,2019-03-22,0.65,15.45,8.191668,77.34702,0.0,36.375
CZ,Tchequie,CZ,Czechia,CZ,Czechia,2019-03-26,2019,3,26,barley,Barley grain (feed),Storage,Zearalenone,no,,,20.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National) programme,,CZ_latest_15410924_contaminants.zip,OCC_CHEMMON2020_CZ_2019.ZIP/OCC_CHEMMON2020_CZ_2019.CSV,356CFC6AF1743F0E38EAACE24AD1EE34,49.765,15.05,2019-03-26,0.1,6.6,3.2041671,71.39286,0.70000005,87.875
SK,Slovaquie,SK,Slovakia,SK,Slovakia,2019-03-28,2019,3,28,generic_cereal,Cereal grains screenings (feed),Farm,Zearalenone,no,,,20.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Other,Official (National) programme,According to 97/747/EC,SK_latest_15411469_contaminants.zip,OCC_CHEMMON2020_SK_2019.ZIP/OCC_CHEMMON2020_SK_2019.CSV,F1410F262C28A90E7934F23CBFEDDAE7,48.053,17.37,2019-03-28,7.622917,12.6,2.3,73.36434,0.1,49.083332
DK,Danemark,DK,Denmark,DK,Denmark,2019-03-28,2019,3,28,barley,Barley grain (feed),Primary production,Zearalenone,no,,,15.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,CA13994BC2F0D33B486084C850E95A48,55.779,9.119,2019-03-28,8.835416,13.2,4.95,86.68395,0.1,71.291664
DK,Danemark,DK,Denmark,DK,Denmark,2019-04-02,2019,4,2,maize,Maize silage (feed),Primary production,Zearalenone,no,,,1.4,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,A8E1E3F38EDE7BC38EBCE0775BE437C4,55.779,9.119,2019-04-02,1.25,10.4,6.254167,67.93869,2.6,66.833336
